Title,Links,Distributor,Opening,Budget,Release Date,MPAA,Running Time,Genres,In Release,Widest Release,Director,Domestic,International,Worldwide
Top Gun: Maverick,/release/rl2500036097/?ref_=bo_yld_table_1,Paramount Pictures,126.0,,2022,PG-13,130.0,"['Action', 'Drama']",224.0,4751.0,Joseph Kosinski,718.732,776.963,1495.0
Black Panther: Wakanda Forever,/release/rl3573908993/?ref_=bo_yld_table_2,Walt Disney Studios Motion Pictures,181.0,,2023,PG-13,161.0,"['Action', 'Adventure', 'Drama', 'Sci-Fi']",416.0,4396.0,Ryan Coogler,453.829,405.379,859.208
Doctor Strange in the Multiverse of Madness,/release/rl3724903937/?ref_=bo_yld_table_3,Walt Disney Studios Motion Pictures,187.0,,2022,PG-13,126.0,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']",240.0,4534.0,Sam Raimi,411.331,544.444,955.775
Avatar: The Way of Water,/release/rl3372254721/?ref_=bo_yld_table_4,20th Century Studios,134.0,,2023,PG-13,192.0,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']",381.0,4340.0,James Cameron,684.075,1636.0,2320.0
Jurassic World Dominion,/release/rl4043671041/?ref_=bo_yld_table_5,Universal Pictures,145.0,,2022,PG-13,147.0,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']",210.0,4697.0,Colin Trevorrow,376.851,625.127,1001.0
Minions: The Rise of Gru,/release/rl1736214017/?ref_=bo_yld_table_6,Universal Pictures,107.0,,2022,PG,87.0,"['Adventure', 'Animation', 'Comedy', 'Crime', 'Family', 'Sci-Fi']",876.0,4427.0,Kyle Balda,370.27,569.933,940.203
The Batman,/release/rl67732993/?ref_=bo_yld_table_7,Warner Bros.,134.0,,2022,PG-13,176.0,"['Action', 'Crime', 'Drama', 'Mystery', 'Thriller']",303.0,4417.0,Matt Reeves,369.345,402.9,772.245
Thor: Love and Thunder,/release/rl3523577345/?ref_=bo_yld_table_8,Walt Disney Studios Motion Pictures,144.0,,2022,PG-13,118.0,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Romance', 'Sci-Fi']",177.0,4375.0,Taika Waititi,343.256,417.671,760.928
Spider-Man: No Way Home,/release/rl2869659137/?ref_=bo_yld_table_9,Sony Pictures Releasing,260.0,,2022,PG-13,148.0,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']",380.0,4336.0,Jon Watts,804.793,1106.0,1910.0
Sonic the Hedgehog 2,/release/rl1363641089/?ref_=bo_yld_table_10,Paramount Pictures,72.0,,2022,PG,122.0,"['Action', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Sci-Fi']",268.0,4258.0,Jeff Fowler,190.872,214.548,405.421
Black Adam,/release/rl2728624641/?ref_=bo_yld_table_11,Warner Bros.,67.0,,2023,PG-13,125.0,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']",437.0,4402.0,Jaume Collet-Serra,168.152,225.3,393.452
Elvis,/release/rl2869528065/?ref_=bo_yld_table_12,Warner Bros.,31.0,,2022,PG-13,159.0,"['Biography', 'Drama', 'Music']",191.0,3932.0,Baz Luhrmann,151.04,136.7,287.74
Uncharted,/release/rl2977334785/?ref_=bo_yld_table_13,Sony Pictures Releasing,44.0,,2022,PG-13,116.0,"['Action', 'Adventure']",317.0,4275.0,Ruben Fleischer,148.648,258.492,407.141
