Title,Links,Distributor,Opening,Budget,Release Date,MPAA,Running Time,Genres,In Release,Widest Release,Director,Domestic,International,Worldwide
Spider-Man: No Way Home,/release/rl2869659137/?ref_=bo_yld_table_1,Sony Pictures Releasing,"$260,138,569",-,"Dec 17, 2021
            -
            Jun 30, 2022",PG-13,2 hr 28 min,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']",380 days/54 weeks,"4,336 theaters","Jon Watts

","
$804,793,477
","
$1,106,189,293
","
$1,910,982,770
"
Shang-Chi and the Legend of the Ten Rings,/release/rl3490022913/?ref_=bo_yld_table_2,Walt Disney Studios Motion Pictures,"$75,388,688",-,"Sep 3, 2021",PG-13,2 hr 12 min,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']",126 days/18 weeks,"4,300 theaters","Destin Daniel Cretton

","
$224,543,292
","
$207,700,000
","
$432,243,292
"
Venom: Let There Be Carnage,/release/rl1908310529/?ref_=bo_yld_table_3,Sony Pictures Releasing,"$90,033,210",-,"Oct 1, 2021
            -
            Jan 27, 2022",PG-13,1 hr 37 min,"['Action', 'Sci-Fi', 'Thriller']",457 days/65 weeks,"4,225 theaters","Andy Serkis

","
$213,550,366
","
$293,263,498
","
$506,813,864
"
Black Widow,/release/rl2122089985/?ref_=bo_yld_table_4,Walt Disney Studios Motion Pictures,"$80,366,312",-,"Jul 9, 2021",PG-13,2 hr 14 min,"['Action', 'Adventure', 'Sci-Fi']",176 days/25 weeks,"4,275 theaters","Cate Shortland

","
$183,651,655
","
$196,100,000
","
$379,751,655
"
F9: The Fast Saga,/release/rl192906753/?ref_=bo_yld_table_5,Universal Pictures,"$70,043,165",-,"Jun 25, 2021",PG-13,2 hr 23 min,"['Action', 'Crime', 'Thriller']",196 days/28 weeks,"4,203 theaters","Justin Lin

","
$173,005,945
","
$553,223,556
","
$726,229,501
"
Eternals,/release/rl2138867201/?ref_=bo_yld_table_6,Walt Disney Studios Motion Pictures,"$71,297,219",-,"Nov 5, 2021",PG-13,2 hr 36 min,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']",422 days/60 weeks,"4,090 theaters","Chloé Zhao

","
$164,870,234
","
$237,194,665
","
$402,064,899
"
No Time to Die,/release/rl4077159937/?ref_=bo_yld_table_7,Metro-Goldwyn-Mayer (MGM),"$55,225,007",-,"Oct 8, 2021",PG-13,2 hr 43 min,"['Action', 'Adventure', 'Thriller']",450 days/64 weeks,"4,407 theaters","Cary Joji Fukunaga

","
$160,891,007
","
$613,262,000
","
$774,153,007
"
A Quiet Place Part II,/release/rl2819065345/?ref_=bo_yld_table_8,Paramount Pictures,"$47,547,231",-,"May 28, 2021",PG-13,1 hr 37 min,"['Drama', 'Horror', 'Sci-Fi', 'Thriller']",218 days/31 weeks,"3,744 theaters","John Krasinski

","
$160,072,261
","
$137,300,000
","
$297,372,261
"
Ghostbusters: Afterlife,/release/rl319391233/?ref_=bo_yld_table_9,Sony Pictures Releasing,"$44,008,406",-,"Nov 19, 2021
            -
            Mar 10, 2022",PG-13,2 hr 4 min,"['Adventure', 'Comedy', 'Fantasy', 'Sci-Fi']",408 days/58 weeks,"4,315 theaters","Jason Reitman

","
$129,360,575
","
$74,973,880
","
$204,334,455
"
Free Guy,/release/rl1158252033/?ref_=bo_yld_table_10,20th Century Studios,"$28,365,416",-,"Aug 13, 2021",PG-13,1 hr 55 min,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Romance', 'Sci-Fi']",147 days/21 weeks,"4,165 theaters","Shawn Levy

","
$121,626,598
","
$209,900,000
","
$331,526,598
"
